time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
720000	1	1.12403e-12	1.3167e-16	1.40777e-15	2.63999e-18	4.63722e-22	1.22764e-24	3.21503e-19	2.64156e-20	1.77348e-30	6.35941e-22	6.29002e-19	
730000	1	1.13962e-12	1.33582e-16	1.44899e-15	2.74479e-18	4.8215e-22	1.27591e-24	3.34362e-19	2.75297e-20	1.84352e-30	6.60737e-22	6.66965e-19	
740000	1	1.15521e-12	1.35494e-16	1.49081e-15	2.85204e-18	5.01007e-22	1.3253e-24	3.4752e-19	2.86714e-20	1.91511e-30	6.8607e-22	7.06657e-19	
750000	1	1.1708e-12	1.37406e-16	1.53322e-15	2.96174e-18	5.20296e-22	1.37581e-24	3.60979e-19	2.98408e-20	1.98826e-30	7.11943e-22	7.48127e-19	
760000	1	1.18638e-12	1.39318e-16	1.57623e-15	3.07392e-18	5.4002e-22	1.42746e-24	3.74739e-19	3.10382e-20	2.06296e-30	7.38359e-22	7.91425e-19	
770000	1	1.20197e-12	1.41231e-16	1.61983e-15	3.18858e-18	5.60181e-22	1.48024e-24	3.88803e-19	3.22636e-20	2.13924e-30	7.6532e-22	8.36599e-19	
780000	1	1.21756e-12	1.43143e-16	1.66402e-15	3.30573e-18	5.80782e-22	1.53418e-24	4.03172e-19	3.35174e-20	2.2171e-30	7.92828e-22	8.83701e-19	
790000	1	1.23314e-12	1.45054e-16	1.70881e-15	3.42541e-18	6.01824e-22	1.58926e-24	4.17848e-19	3.47995e-20	2.29653e-30	8.20885e-22	9.32781e-19	
800000	1	1.24873e-12	1.46966e-16	1.75419e-15	3.5476e-18	6.2331e-22	1.6455e-24	4.32832e-19	3.61103e-20	2.37756e-30	8.49494e-22	9.8389e-19	
810000	1	1.26431e-12	1.48878e-16	1.80017e-15	3.67234e-18	6.45243e-22	1.7029e-24	4.48125e-19	3.74497e-20	2.46019e-30	8.78656e-22	1.03708e-18	
820000	1	1.2799e-12	1.5079e-16	1.84673e-15	3.79962e-18	6.67624e-22	1.76147e-24	4.6373e-19	3.88181e-20	2.54441e-30	9.08373e-22	1.0924e-18	
830000	1	1.29548e-12	1.52701e-16	1.89389e-15	3.92947e-18	6.90456e-22	1.82122e-24	4.79647e-19	4.02155e-20	2.63025e-30	9.38648e-22	1.14991e-18	
