time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
2.47968e+07	10	1.47639e-10	1.7102e-12	1.0696e-09	1.06078e-15	2.31304e-21	1.42098e-26	7.99997e-30	1.28578e-35	6.89615e-29	3.12076e-40	5.17269e-29	6.64679e-36	6.66294e-34	1.73569e-25	9.63062e-29	2.34958e-39	5.59479e-28	7.52511e-38	1.23913e-28	
2.54016e+07	10	1.47646e-10	1.71028e-12	1.09932e-09	1.11946e-15	2.50505e-21	1.54138e-26	8.67548e-30	1.39786e-35	7.4907e-29	3.3417e-40	5.59836e-29	7.38096e-36	7.36003e-34	1.92963e-25	1.07358e-28	2.61204e-39	6.37027e-28	8.38576e-38	1.44865e-28	
2.60064e+07	10	1.47652e-10	1.71035e-12	1.12905e-09	1.17975e-15	2.70753e-21	1.66849e-26	9.38522e-30	1.51476e-35	8.11415e-29	3.54494e-40	6.04901e-29	8.34417e-36	8.27761e-34	2.13956e-25	1.19344e-28	2.89531e-39	7.22859e-28	9.31466e-38	1.6868e-28	
2.66112e+07	10	1.47656e-10	1.7104e-12	1.15877e-09	1.24164e-15	2.92078e-21	1.8025e-26	1.01363e-29	1.63551e-35	8.76333e-29	3.80368e-40	6.53464e-29	9.16873e-36	9.09059e-34	2.36642e-25	1.32318e-28	3.2017e-39	8.17604e-28	1.03232e-37	1.95659e-28	
2.7216e+07	10	1.4766e-10	1.71044e-12	1.1885e-09	1.30515e-15	3.14508e-21	1.9436e-26	1.09304e-29	1.76189e-35	9.44418e-29	4.11579e-40	7.05134e-29	9.83818e-36	9.77191e-34	2.61105e-25	1.46332e-28	3.53268e-39	9.21919e-28	1.14168e-37	2.26125e-28	
2.78208e+07	10	1.47663e-10	1.71048e-12	1.21823e-09	1.37026e-15	3.3807e-21	2.09195e-26	1.17676e-29	1.8945e-35	1.0159e-28	4.47085e-40	7.59772e-29	1.04033e-35	1.03645e-33	2.87436e-25	1.61441e-28	3.88939e-39	1.03649e-27	1.25989e-37	2.60427e-28	
2.84256e+07	10	1.47666e-10	1.71051e-12	1.24796e-09	1.43698e-15	3.62793e-21	2.24776e-26	1.26481e-29	2.03403e-35	1.09105e-28	4.85538e-40	8.17181e-29	1.09293e-35	1.09238e-33	3.15725e-25	1.77702e-28	4.27296e-39	1.16203e-27	1.38728e-37	2.98937e-28	
2.90304e+07	10	1.47668e-10	1.71054e-12	1.27769e-09	1.50531e-15	3.88706e-21	2.41121e-26	1.35716e-29	2.18128e-35	1.17016e-28	5.25263e-40	8.77109e-29	1.14969e-35	1.15181e-33	3.46065e-25	1.95173e-28	4.68444e-39	1.29929e-27	1.52414e-37	3.42051e-28	
2.96352e+07	10	1.4767e-10	1.71056e-12	1.30742e-09	1.57525e-15	4.15837e-21	2.58247e-26	1.45377e-29	2.33717e-35	1.25357e-28	5.6424e-40	9.39245e-29	1.22031e-35	1.22301e-33	3.78553e-25	2.13911e-28	5.12485e-39	1.44905e-27	1.67074e-37	3.90194e-28	
3.024e+07	10	1.47671e-10	1.71057e-12	1.33715e-09	1.6468e-15	4.44214e-21	2.76174e-26	1.55455e-29	2.50273e-35	1.34167e-28	6.0008e-40	1.00321e-28	1.31623e-35	1.3157e-33	4.13285e-25	2.33977e-28	5.59514e-39	1.61209e-27	1.82727e-37	4.43819e-28	
